Value,Period,Reference Area,Industry Section,Measure Type,Unit
106.7,quarter/2014.0,North East,O,Indices 2016=100,Indices 2016=100
96.5,quarter/2014.0,North East,P,Indices 2016=100,Indices 2016=100
103.7,quarter/2014.0,North East,Q,Indices 2016=100,Indices 2016=100
107.9,quarter/2014.0,North East,R,Indices 2016=100,Indices 2016=100
92.0,quarter/2014.0,North East,S,Indices 2016=100,Indices 2016=100
57.6,quarter/2014.0,North East,T,Indices 2016=100,Indices 2016=100
100.4,quarter/2015.0,North East,A_T,Indices 2016=100,Indices 2016=100
113.7,quarter/2015.0,North East,A,Indices 2016=100,Indices 2016=100
99.8,quarter/2015.0,North East,B_E,Indices 2016=100,Indices 2016=100
175.8,quarter/2015.0,North East,B,Indices 2016=100,Indices 2016=100
99.5,quarter/2015.0,North East,C,Indices 2016=100,Indices 2016=100
98.1,quarter/2015.0,North East,D,Indices 2016=100,Indices 2016=100
93.9,quarter/2015.0,North East,E,Indices 2016=100,Indices 2016=100
99.6,quarter/2015.0,North East,F,Indices 2016=100,Indices 2016=100
100.5,quarter/2015.0,North East,G_T,Indices 2016=100,Indices 2016=100
99.2,quarter/2015.0,North East,G,Indices 2016=100,Indices 2016=100
101.1,quarter/2015.0,North East,H,Indices 2016=100,Indices 2016=100
93.3,quarter/2015.0,North East,I,Indices 2016=100,Indices 2016=100
109.6,quarter/2015.0,North East,J,Indices 2016=100,Indices 2016=100
102.4,quarter/2015.0,North East,K,Indices 2016=100,Indices 2016=100
96.3,quarter/2015.0,North East,L,Indices 2016=100,Indices 2016=100
100.9,quarter/2015.0,North East,M,Indices 2016=100,Indices 2016=100
98.1,quarter/2015.0,North East,N,Indices 2016=100,Indices 2016=100
105.5,quarter/2015.0,North East,O,Indices 2016=100,Indices 2016=100
97.1,quarter/2015.0,North East,P,Indices 2016=100,Indices 2016=100
102.6,quarter/2015.0,North East,Q,Indices 2016=100,Indices 2016=100
113.3,quarter/2015.0,North East,R,Indices 2016=100,Indices 2016=100
99.3,quarter/2015.0,North East,S,Indices 2016=100,Indices 2016=100
67.6,quarter/2015.0,North East,T,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,A_T,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,A,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,B_E,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,B,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,C,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,D,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,E,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,F,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,G_T,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,G,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,H,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,I,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,J,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,K,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,L,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,M,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,N,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,O,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,P,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,Q,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,R,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,S,Indices 2016=100,Indices 2016=100
100.0,quarter/2016.0,North East,T,Indices 2016=100,Indices 2016=100
100.5,quarter/2017.0,North East,A_T,Indices 2016=100,Indices 2016=100
99.9,quarter/2017.0,North East,A,Indices 2016=100,Indices 2016=100
100.5,quarter/2017.0,North East,B_E,Indices 2016=100,Indices 2016=100
86.6,quarter/2017.0,North East,B,Indices 2016=100,Indices 2016=100
100.3,quarter/2017.0,North East,C,Indices 2016=100,Indices 2016=100
104.9,quarter/2017.0,North East,D,Indices 2016=100,Indices 2016=100
98.7,quarter/2017.0,North East,E,Indices 2016=100,Indices 2016=100
101.4,quarter/2017.0,North East,F,Indices 2016=100,Indices 2016=100
100.5,quarter/2017.0,North East,G_T,Indices 2016=100,Indices 2016=100
95.4,quarter/2017.0,North East,G,Indices 2016=100,Indices 2016=100
99.4,quarter/2017.0,North East,H,Indices 2016=100,Indices 2016=100
102.4,quarter/2017.0,North East,I,Indices 2016=100,Indices 2016=100
104.7,quarter/2017.0,North East,J,Indices 2016=100,Indices 2016=100
102.3,quarter/2017.0,North East,K,Indices 2016=100,Indices 2016=100
102.3,quarter/2017.0,North East,L,Indices 2016=100,Indices 2016=100
103.3,quarter/2017.0,North East,M,Indices 2016=100,Indices 2016=100
99.5,quarter/2017.0,North East,N,Indices 2016=100,Indices 2016=100
99.1,quarter/2017.0,North East,O,Indices 2016=100,Indices 2016=100
96.1,quarter/2017.0,North East,P,Indices 2016=100,Indices 2016=100
104.0,quarter/2017.0,North East,Q,Indices 2016=100,Indices 2016=100
91.1,quarter/2017.0,North East,R,Indices 2016=100,Indices 2016=100
103.8,quarter/2017.0,North East,S,Indices 2016=100,Indices 2016=100
108.5,quarter/2017.0,North East,T,Indices 2016=100,Indices 2016=100
100.6,quarter/2018.0,North East,A_T,Indices 2016=100,Indices 2016=100
98.3,quarter/2018.0,North East,A,Indices 2016=100,Indices 2016=100
100.7,quarter/2018.0,North East,B_E,Indices 2016=100,Indices 2016=100
87.4,quarter/2018.0,North East,B,Indices 2016=100,Indices 2016=100
100.8,quarter/2018.0,North East,C,Indices 2016=100,Indices 2016=100
104.6,quarter/2018.0,North East,D,Indices 2016=100,Indices 2016=100
96.4,quarter/2018.0,North East,E,Indices 2016=100,Indices 2016=100
99.1,quarter/2018.0,North East,F,Indices 2016=100,Indices 2016=100
100.7,quarter/2018.0,North East,G_T,Indices 2016=100,Indices 2016=100
99.7,quarter/2018.0,North East,G,Indices 2016=100,Indices 2016=100
99.3,quarter/2018.0,North East,H,Indices 2016=100,Indices 2016=100
100.0,quarter/2018.0,North East,I,Indices 2016=100,Indices 2016=100
94.6,quarter/2018.0,North East,J,Indices 2016=100,Indices 2016=100
104.1,quarter/2018.0,North East,K,Indices 2016=100,Indices 2016=100
101.3,quarter/2018.0,North East,L,Indices 2016=100,Indices 2016=100
102.4,quarter/2018.0,North East,M,Indices 2016=100,Indices 2016=100
102.6,quarter/2018.0,North East,N,Indices 2016=100,Indices 2016=100
100.9,quarter/2018.0,North East,O,Indices 2016=100,Indices 2016=100
93.9,quarter/2018.0,North East,P,Indices 2016=100,Indices 2016=100
106.1,quarter/2018.0,North East,Q,Indices 2016=100,Indices 2016=100
97.0,quarter/2018.0,North East,R,Indices 2016=100,Indices 2016=100
102.5,quarter/2018.0,North East,S,Indices 2016=100,Indices 2016=100
115.9,quarter/2018.0,North East,T,Indices 2016=100,Indices 2016=100
101.4,quarter/2019.0,North East,A_T,Indices 2016=100,Indices 2016=100
101.9,quarter/2019.0,North East,A,Indices 2016=100,Indices 2016=100
100.9,quarter/2019.0,North East,B_E,Indices 2016=100,Indices 2016=100
123.4,quarter/2019.0,North East,B,Indices 2016=100,Indices 2016=100
103.0,quarter/2019.0,North East,C,Indices 2016=100,Indices 2016=100
90.5,quarter/2019.0,North East,D,Indices 2016=100,Indices 2016=100
92.5,quarter/2019.0,North East,E,Indices 2016=100,Indices 2016=100
117.8,quarter/2019.0,North East,F,Indices 2016=100,Indices 2016=100
100.3,quarter/2019.0,North East,G_T,Indices 2016=100,Indices 2016=100
100.1,quarter/2019.0,North East,G,Indices 2016=100,Indices 2016=100
97.0,quarter/2019.0,North East,H,Indices 2016=100,Indices 2016=100
103.7,quarter/2019.0,North East,I,Indices 2016=100,Indices 2016=100
88.2,quarter/2019.0,North East,J,Indices 2016=100,Indices 2016=100
106.5,quarter/2019.0,North East,K,Indices 2016=100,Indices 2016=100
99.8,quarter/2019.0,North East,L,Indices 2016=100,Indices 2016=100
108.1,quarter/2019.0,North East,M,Indices 2016=100,Indices 2016=100
103.5,quarter/2019.0,North East,N,Indices 2016=100,Indices 2016=100
99.0,quarter/2019.0,North East,O,Indices 2016=100,Indices 2016=100
92.2,quarter/2019.0,North East,P,Indices 2016=100,Indices 2016=100
107.6,quarter/2019.0,North East,Q,Indices 2016=100,Indices 2016=100
95.7,quarter/2019.0,North East,R,Indices 2016=100,Indices 2016=100
91.7,quarter/2019.0,North East,S,Indices 2016=100,Indices 2016=100
128.5,quarter/2019.0,North East,T,Indices 2016=100,Indices 2016=100
98.1,quarter/2012 Q1,North East,A_T,Indices 2016=100,Indices 2016=100
97.8,quarter/2012 Q1,North East,A,Indices 2016=100,Indices 2016=100
102.8,quarter/2012 Q1,North East,B_E,Indices 2016=100,Indices 2016=100
160.6,quarter/2012 Q1,North East,B,Indices 2016=100,Indices 2016=100
104.0,quarter/2012 Q1,North East,C,Indices 2016=100,Indices 2016=100
104.1,quarter/2012 Q1,North East,D,Indices 2016=100,Indices 2016=100
86.4,quarter/2012 Q1,North East,E,Indices 2016=100,Indices 2016=100
94.5,quarter/2012 Q1,North East,F,Indices 2016=100,Indices 2016=100
97.3,quarter/2012 Q1,North East,G_T,Indices 2016=100,Indices 2016=100
88.9,quarter/2012 Q1,North East,G,Indices 2016=100,Indices 2016=100
93.8,quarter/2012 Q1,North East,H,Indices 2016=100,Indices 2016=100
90.1,quarter/2012 Q1,North East,I,Indices 2016=100,Indices 2016=100
97.8,quarter/2012 Q1,North East,J,Indices 2016=100,Indices 2016=100
105.3,quarter/2012 Q1,North East,K,Indices 2016=100,Indices 2016=100
95.6,quarter/2012 Q1,North East,L,Indices 2016=100,Indices 2016=100
92.3,quarter/2012 Q1,North East,M,Indices 2016=100,Indices 2016=100
82.7,quarter/2012 Q1,North East,N,Indices 2016=100,Indices 2016=100
116.6,quarter/2012 Q1,North East,O,Indices 2016=100,Indices 2016=100
101.2,quarter/2012 Q1,North East,P,Indices 2016=100,Indices 2016=100
101.6,quarter/2012 Q1,North East,Q,Indices 2016=100,Indices 2016=100
105.2,quarter/2012 Q1,North East,R,Indices 2016=100,Indices 2016=100
93.6,quarter/2012 Q1,North East,S,Indices 2016=100,Indices 2016=100
47.9,quarter/2012 Q1,North East,T,Indices 2016=100,Indices 2016=100
97.9,quarter/2012 Q2,North East,A_T,Indices 2016=100,Indices 2016=100
90.6,quarter/2012 Q2,North East,A,Indices 2016=100,Indices 2016=100
100.8,quarter/2012 Q2,North East,B_E,Indices 2016=100,Indices 2016=100
167.9,quarter/2012 Q2,North East,B,Indices 2016=100,Indices 2016=100
100.4,quarter/2012 Q2,North East,C,Indices 2016=100,Indices 2016=100
110.7,quarter/2012 Q2,North East,D,Indices 2016=100,Indices 2016=100
84.1,quarter/2012 Q2,North East,E,Indices 2016=100,Indices 2016=100
92.6,quarter/2012 Q2,North East,F,Indices 2016=100,Indices 2016=100
97.7,quarter/2012 Q2,North East,G_T,Indices 2016=100,Indices 2016=100
86.7,quarter/2012 Q2,North East,G,Indices 2016=100,Indices 2016=100
98.4,quarter/2012 Q2,North East,H,Indices 2016=100,Indices 2016=100
90.2,quarter/2012 Q2,North East,I,Indices 2016=100,Indices 2016=100
98.4,quarter/2012 Q2,North East,J,Indices 2016=100,Indices 2016=100
111.4,quarter/2012 Q2,North East,K,Indices 2016=100,Indices 2016=100
95.1,quarter/2012 Q2,North East,L,Indices 2016=100,Indices 2016=100
97.5,quarter/2012 Q2,North East,M,Indices 2016=100,Indices 2016=100
84.8,quarter/2012 Q2,North East,N,Indices 2016=100,Indices 2016=100
118.4,quarter/2012 Q2,North East,O,Indices 2016=100,Indices 2016=100
99.1,quarter/2012 Q2,North East,P,Indices 2016=100,Indices 2016=100
100.8,quarter/2012 Q2,North East,Q,Indices 2016=100,Indices 2016=100
102.6,quarter/2012 Q2,North East,R,Indices 2016=100,Indices 2016=100
90.2,quarter/2012 Q2,North East,S,Indices 2016=100,Indices 2016=100
57.4,quarter/2012 Q2,North East,T,Indices 2016=100,Indices 2016=100
98.0,quarter/2012 Q3,North East,A_T,Indices 2016=100,Indices 2016=100
89.2,quarter/2012 Q3,North East,A,Indices 2016=100,Indices 2016=100
105.5,quarter/2012 Q3,North East,B_E,Indices 2016=100,Indices 2016=100
162.1,quarter/2012 Q3,North East,B,Indices 2016=100,Indices 2016=100
105.2,quarter/2012 Q3,North East,C,Indices 2016=100,Indices 2016=100
115.6,quarter/2012 Q3,North East,D,Indices 2016=100,Indices 2016=100
88.4,quarter/2012 Q3,North East,E,Indices 2016=100,Indices 2016=100
88.7,quarter/2012 Q3,North East,F,Indices 2016=100,Indices 2016=100
97.0,quarter/2012 Q3,North East,G_T,Indices 2016=100,Indices 2016=100
86.4,quarter/2012 Q3,North East,G,Indices 2016=100,Indices 2016=100
94.2,quarter/2012 Q3,North East,H,Indices 2016=100,Indices 2016=100
89.5,quarter/2012 Q3,North East,I,Indices 2016=100,Indices 2016=100
97.8,quarter/2012 Q3,North East,J,Indices 2016=100,Indices 2016=100
115.1,quarter/2012 Q3,North East,K,Indices 2016=100,Indices 2016=100
95.2,quarter/2012 Q3,North East,L,Indices 2016=100,Indices 2016=100
88.8,quarter/2012 Q3,North East,M,Indices 2016=100,Indices 2016=100
87.7,quarter/2012 Q3,North East,N,Indices 2016=100,Indices 2016=100
113.3,quarter/2012 Q3,North East,O,Indices 2016=100,Indices 2016=100
100.5,quarter/2012 Q3,North East,P,Indices 2016=100,Indices 2016=100
102.2,quarter/2012 Q3,North East,Q,Indices 2016=100,Indices 2016=100
98.9,quarter/2012 Q3,North East,R,Indices 2016=100,Indices 2016=100
89.8,quarter/2012 Q3,North East,S,Indices 2016=100,Indices 2016=100
63.6,quarter/2012 Q3,North East,T,Indices 2016=100,Indices 2016=100
97.6,quarter/2012 Q4,North East,A_T,Indices 2016=100,Indices 2016=100
86.6,quarter/2012 Q4,North East,A,Indices 2016=100,Indices 2016=100
102.1,quarter/2012 Q4,North East,B_E,Indices 2016=100,Indices 2016=100
155.6,quarter/2012 Q4,North East,B,Indices 2016=100,Indices 2016=100
101.4,quarter/2012 Q4,North East,C,Indices 2016=100,Indices 2016=100
110.8,quarter/2012 Q4,North East,D,Indices 2016=100,Indices 2016=100
91.3,quarter/2012 Q4,North East,E,Indices 2016=100,Indices 2016=100
85.4,quarter/2012 Q4,North East,F,Indices 2016=100,Indices 2016=100
97.6,quarter/2012 Q4,North East,G_T,Indices 2016=100,Indices 2016=100
87.5,quarter/2012 Q4,North East,G,Indices 2016=100,Indices 2016=100
102.4,quarter/2012 Q4,North East,H,Indices 2016=100,Indices 2016=100
88.4,quarter/2012 Q4,North East,I,Indices 2016=100,Indices 2016=100
99.7,quarter/2012 Q4,North East,J,Indices 2016=100,Indices 2016=100
109.8,quarter/2012 Q4,North East,K,Indices 2016=100,Indices 2016=100
95.4,quarter/2012 Q4,North East,L,Indices 2016=100,Indices 2016=100
88.4,quarter/2012 Q4,North East,M,Indices 2016=100,Indices 2016=100
88.0,quarter/2012 Q4,North East,N,Indices 2016=100,Indices 2016=100
116.9,quarter/2012 Q4,North East,O,Indices 2016=100,Indices 2016=100
97.3,quarter/2012 Q4,North East,P,Indices 2016=100,Indices 2016=100
103.0,quarter/2012 Q4,North East,Q,Indices 2016=100,Indices 2016=100
107.2,quarter/2012 Q4,North East,R,Indices 2016=100,Indices 2016=100
90.8,quarter/2012 Q4,North East,S,Indices 2016=100,Indices 2016=100
56.0,quarter/2012 Q4,North East,T,Indices 2016=100,Indices 2016=100
96.1,quarter/2013 Q1,North East,A_T,Indices 2016=100,Indices 2016=100
83.4,quarter/2013 Q1,North East,A,Indices 2016=100,Indices 2016=100
100.9,quarter/2013 Q1,North East,B_E,Indices 2016=100,Indices 2016=100
234.2,quarter/2013 Q1,North East,B,Indices 2016=100,Indices 2016=100
99.5,quarter/2013 Q1,North East,C,Indices 2016=100,Indices 2016=100
108.1,quarter/2013 Q1,North East,D,Indices 2016=100,Indices 2016=100
84.2,quarter/2013 Q1,North East,E,Indices 2016=100,Indices 2016=100
84.6,quarter/2013 Q1,North East,F,Indices 2016=100,Indices 2016=100
96.0,quarter/2013 Q1,North East,G_T,Indices 2016=100,Indices 2016=100
89.0,quarter/2013 Q1,North East,G,Indices 2016=100,Indices 2016=100
97.1,quarter/2013 Q1,North East,H,Indices 2016=100,Indices 2016=100
85.8,quarter/2013 Q1,North East,I,Indices 2016=100,Indices 2016=100
95.9,quarter/2013 Q1,North East,J,Indices 2016=100,Indices 2016=100
103.4,quarter/2013 Q1,North East,K,Indices 2016=100,Indices 2016=100
95.0,quarter/2013 Q1,North East,L,Indices 2016=100,Indices 2016=100
92.1,quarter/2013 Q1,North East,M,Indices 2016=100,Indices 2016=100
83.9,quarter/2013 Q1,North East,N,Indices 2016=100,Indices 2016=100
119.3,quarter/2013 Q1,North East,O,Indices 2016=100,Indices 2016=100
89.3,quarter/2013 Q1,North East,P,Indices 2016=100,Indices 2016=100
101.4,quarter/2013 Q1,North East,Q,Indices 2016=100,Indices 2016=100
102.0,quarter/2013 Q1,North East,R,Indices 2016=100,Indices 2016=100
87.4,quarter/2013 Q1,North East,S,Indices 2016=100,Indices 2016=100
64.4,quarter/2013 Q1,North East,T,Indices 2016=100,Indices 2016=100
97.7,quarter/2013 Q2,North East,A_T,Indices 2016=100,Indices 2016=100
83.7,quarter/2013 Q2,North East,A,Indices 2016=100,Indices 2016=100
102.1,quarter/2013 Q2,North East,B_E,Indices 2016=100,Indices 2016=100
194.5,quarter/2013 Q2,North East,B,Indices 2016=100,Indices 2016=100
100.8,quarter/2013 Q2,North East,C,Indices 2016=100,Indices 2016=100
107.0,quarter/2013 Q2,North East,D,Indices 2016=100,Indices 2016=100
93.8,quarter/2013 Q2,North East,E,Indices 2016=100,Indices 2016=100
84.2,quarter/2013 Q2,North East,F,Indices 2016=100,Indices 2016=100
97.8,quarter/2013 Q2,North East,G_T,Indices 2016=100,Indices 2016=100
91.2,quarter/2013 Q2,North East,G,Indices 2016=100,Indices 2016=100
100.8,quarter/2013 Q2,North East,H,Indices 2016=100,Indices 2016=100
85.8,quarter/2013 Q2,North East,I,Indices 2016=100,Indices 2016=100
95.0,quarter/2013 Q2,North East,J,Indices 2016=100,Indices 2016=100
101.8,quarter/2013 Q2,North East,K,Indices 2016=100,Indices 2016=100
95.2,quarter/2013 Q2,North East,L,Indices 2016=100,Indices 2016=100
92.3,quarter/2013 Q2,North East,M,Indices 2016=100,Indices 2016=100
83.7,quarter/2013 Q2,North East,N,Indices 2016=100,Indices 2016=100
118.2,quarter/2013 Q2,North East,O,Indices 2016=100,Indices 2016=100
100.4,quarter/2013 Q2,North East,P,Indices 2016=100,Indices 2016=100
104.6,quarter/2013 Q2,North East,Q,Indices 2016=100,Indices 2016=100
106.3,quarter/2013 Q2,North East,R,Indices 2016=100,Indices 2016=100
86.7,quarter/2013 Q2,North East,S,Indices 2016=100,Indices 2016=100
61.3,quarter/2013 Q2,North East,T,Indices 2016=100,Indices 2016=100
97.6,quarter/2013 Q3,North East,A_T,Indices 2016=100,Indices 2016=100
88.9,quarter/2013 Q3,North East,A,Indices 2016=100,Indices 2016=100
99.0,quarter/2013 Q3,North East,B_E,Indices 2016=100,Indices 2016=100
187.4,quarter/2013 Q3,North East,B,Indices 2016=100,Indices 2016=100
97.3,quarter/2013 Q3,North East,C,Indices 2016=100,Indices 2016=100
104.2,quarter/2013 Q3,North East,D,Indices 2016=100,Indices 2016=100
94.8,quarter/2013 Q3,North East,E,Indices 2016=100,Indices 2016=100
89.1,quarter/2013 Q3,North East,F,Indices 2016=100,Indices 2016=100
98.0,quarter/2013 Q3,North East,G_T,Indices 2016=100,Indices 2016=100
94.0,quarter/2013 Q3,North East,G,Indices 2016=100,Indices 2016=100
99.1,quarter/2013 Q3,North East,H,Indices 2016=100,Indices 2016=100
86.0,quarter/2013 Q3,North East,I,Indices 2016=100,Indices 2016=100
95.1,quarter/2013 Q3,North East,J,Indices 2016=100,Indices 2016=100
102.7,quarter/2013 Q3,North East,K,Indices 2016=100,Indices 2016=100
95.3,quarter/2013 Q3,North East,L,Indices 2016=100,Indices 2016=100
93.9,quarter/2013 Q3,North East,M,Indices 2016=100,Indices 2016=100
85.1,quarter/2013 Q3,North East,N,Indices 2016=100,Indices 2016=100
116.1,quarter/2013 Q3,North East,O,Indices 2016=100,Indices 2016=100
98.2,quarter/2013 Q3,North East,P,Indices 2016=100,Indices 2016=100
104.7,quarter/2013 Q3,North East,Q,Indices 2016=100,Indices 2016=100
107.7,quarter/2013 Q3,North East,R,Indices 2016=100,Indices 2016=100
86.2,quarter/2013 Q3,North East,S,Indices 2016=100,Indices 2016=100
59.7,quarter/2013 Q3,North East,T,Indices 2016=100,Indices 2016=100
98.4,quarter/2013 Q4,North East,A_T,Indices 2016=100,Indices 2016=100
92.9,quarter/2013 Q4,North East,A,Indices 2016=100,Indices 2016=100
98.6,quarter/2013 Q4,North East,B_E,Indices 2016=100,Indices 2016=100
200.5,quarter/2013 Q4,North East,B,Indices 2016=100,Indices 2016=100
96.3,quarter/2013 Q4,North East,C,Indices 2016=100,Indices 2016=100
105.2,quarter/2013 Q4,North East,D,Indices 2016=100,Indices 2016=100
95.2,quarter/2013 Q4,North East,E,Indices 2016=100,Indices 2016=100
94.4,quarter/2013 Q4,North East,F,Indices 2016=100,Indices 2016=100
98.7,quarter/2013 Q4,North East,G_T,Indices 2016=100,Indices 2016=100
91.7,quarter/2013 Q4,North East,G,Indices 2016=100,Indices 2016=100
98.9,quarter/2013 Q4,North East,H,Indices 2016=100,Indices 2016=100
87.2,quarter/2013 Q4,North East,I,Indices 2016=100,Indices 2016=100
96.9,quarter/2013 Q4,North East,J,Indices 2016=100,Indices 2016=100
109.1,quarter/2013 Q4,North East,K,Indices 2016=100,Indices 2016=100
95.2,quarter/2013 Q4,North East,L,Indices 2016=100,Indices 2016=100
93.2,quarter/2013 Q4,North East,M,Indices 2016=100,Indices 2016=100
87.9,quarter/2013 Q4,North East,N,Indices 2016=100,Indices 2016=100
111.1,quarter/2013 Q4,North East,O,Indices 2016=100,Indices 2016=100
105.4,quarter/2013 Q4,North East,P,Indices 2016=100,Indices 2016=100
105.4,quarter/2013 Q4,North East,Q,Indices 2016=100,Indices 2016=100
110.7,quarter/2013 Q4,North East,R,Indices 2016=100,Indices 2016=100
88.9,quarter/2013 Q4,North East,S,Indices 2016=100,Indices 2016=100
59.1,quarter/2013 Q4,North East,T,Indices 2016=100,Indices 2016=100
98.4,quarter/2014 Q1,North East,A_T,Indices 2016=100,Indices 2016=100
99.9,quarter/2014 Q1,North East,A,Indices 2016=100,Indices 2016=100
99.3,quarter/2014 Q1,North East,B_E,Indices 2016=100,Indices 2016=100
203.4,quarter/2014 Q1,North East,B,Indices 2016=100,Indices 2016=100
96.7,quarter/2014 Q1,North East,C,Indices 2016=100,Indices 2016=100
