Geography,Period,CDID,BOP Services,Flow Directions,Measure Type,Value,Unit
K02000001,quarter/2018-Q4,FDYI,7,exports,GBP Total,15854.0,GBP (Million)
K02000001,quarter/2019-Q1,FDYI,7,exports,GBP Total,15818.0,GBP (Million)
K02000001,quarter/2019-Q2,FDYI,7,exports,GBP Total,14949.0,GBP (Million)
K02000001,quarter/2019-Q3,FDYI,7,exports,GBP Total,16506.0,GBP (Million)
K02000001,quarter/2019-Q4,FDYI,7,exports,GBP Total,16024.0,GBP (Million)
K02000001,quarter/2020-Q1,FDYI,7,exports,GBP Total,16589.0,GBP (Million)
K02000001,year/2018,FEBA,8,exports,GBP Total,19721.0,GBP (Million)
K02000001,year/2019,FEBA,8,exports,GBP Total,19776.0,GBP (Million)
K02000001,quarter/2018-Q2,FEBA,8,exports,GBP Total,4616.0,GBP (Million)
K02000001,quarter/2018-Q3,FEBA,8,exports,GBP Total,4565.0,GBP (Million)
K02000001,quarter/2018-Q4,FEBA,8,exports,GBP Total,6131.0,GBP (Million)
K02000001,quarter/2019-Q1,FEBA,8,exports,GBP Total,4608.0,GBP (Million)
K02000001,quarter/2019-Q2,FEBA,8,exports,GBP Total,5042.0,GBP (Million)
K02000001,quarter/2019-Q3,FEBA,8,exports,GBP Total,4787.0,GBP (Million)
K02000001,quarter/2019-Q4,FEBA,8,exports,GBP Total,5339.0,GBP (Million)
K02000001,quarter/2020-Q1,FEBA,8,exports,GBP Total,4147.0,GBP (Million)
K02000001,year/2018,FDYQ,9,exports,GBP Total,23960.0,GBP (Million)
K02000001,year/2019,FDYQ,9,exports,GBP Total,23400.0,GBP (Million)
K02000001,quarter/2018-Q2,FDYQ,9,exports,GBP Total,5784.0,GBP (Million)
K02000001,quarter/2018-Q3,FDYQ,9,exports,GBP Total,6016.0,GBP (Million)
K02000001,quarter/2018-Q4,FDYQ,9,exports,GBP Total,6249.0,GBP (Million)
K02000001,quarter/2019-Q1,FDYQ,9,exports,GBP Total,5663.0,GBP (Million)
K02000001,quarter/2019-Q2,FDYQ,9,exports,GBP Total,5757.0,GBP (Million)
K02000001,quarter/2019-Q3,FDYQ,9,exports,GBP Total,6004.0,GBP (Million)
K02000001,quarter/2019-Q4,FDYQ,9,exports,GBP Total,5976.0,GBP (Million)
K02000001,quarter/2020-Q1,FDYQ,9,exports,GBP Total,5326.0,GBP (Million)
K02000001,year/2018,FEHH,10,exports,GBP Total,98796.0,GBP (Million)
K02000001,year/2019,FEHH,10,exports,GBP Total,113049.0,GBP (Million)
K02000001,quarter/2018-Q2,FEHH,10,exports,GBP Total,23893.0,GBP (Million)
K02000001,quarter/2018-Q3,FEHH,10,exports,GBP Total,25842.0,GBP (Million)
K02000001,quarter/2018-Q4,FEHH,10,exports,GBP Total,26374.0,GBP (Million)
K02000001,quarter/2019-Q1,FEHH,10,exports,GBP Total,27223.0,GBP (Million)
K02000001,quarter/2019-Q2,FEHH,10,exports,GBP Total,28462.0,GBP (Million)
K02000001,quarter/2019-Q3,FEHH,10,exports,GBP Total,29135.0,GBP (Million)
K02000001,quarter/2019-Q4,FEHH,10,exports,GBP Total,28229.0,GBP (Million)
K02000001,quarter/2020-Q1,FEHH,10,exports,GBP Total,28246.0,GBP (Million)
K02000001,year/2018,FGXJ,11,exports,GBP Total,4584.0,GBP (Million)
K02000001,year/2019,FGXJ,11,exports,GBP Total,4812.0,GBP (Million)
K02000001,quarter/2018-Q2,FGXJ,11,exports,GBP Total,1161.0,GBP (Million)
K02000001,quarter/2018-Q3,FGXJ,11,exports,GBP Total,1175.0,GBP (Million)
K02000001,quarter/2018-Q4,FGXJ,11,exports,GBP Total,1197.0,GBP (Million)
K02000001,quarter/2019-Q1,FGXJ,11,exports,GBP Total,1186.0,GBP (Million)
K02000001,quarter/2019-Q2,FGXJ,11,exports,GBP Total,1046.0,GBP (Million)
K02000001,quarter/2019-Q3,FGXJ,11,exports,GBP Total,1223.0,GBP (Million)
K02000001,quarter/2019-Q4,FGXJ,11,exports,GBP Total,1357.0,GBP (Million)
K02000001,quarter/2020-Q1,FGXJ,11,exports,GBP Total,1365.0,GBP (Million)
K02000001,year/2018,FGZA,12,exports,GBP Total,2900.0,GBP (Million)
K02000001,year/2019,FGZA,12,exports,GBP Total,3237.0,GBP (Million)
K02000001,quarter/2018-Q2,FGZA,12,exports,GBP Total,733.0,GBP (Million)
K02000001,quarter/2018-Q3,FGZA,12,exports,GBP Total,755.0,GBP (Million)
K02000001,quarter/2018-Q4,FGZA,12,exports,GBP Total,686.0,GBP (Million)
K02000001,quarter/2019-Q1,FGZA,12,exports,GBP Total,800.0,GBP (Million)
K02000001,quarter/2019-Q2,FGZA,12,exports,GBP Total,784.0,GBP (Million)
K02000001,quarter/2019-Q3,FGZA,12,exports,GBP Total,810.0,GBP (Million)
K02000001,quarter/2019-Q4,FGZA,12,exports,GBP Total,843.0,GBP (Million)
K02000001,quarter/2020-Q1,FGZA,12,exports,GBP Total,809.0,GBP (Million)
K02000001,year/2018,IKBB,0,exports,GBP Total,306870.0,GBP (Million)
K02000001,year/2019,IKBB,0,exports,GBP Total,327842.0,GBP (Million)
K02000001,quarter/2018-Q2,IKBB,0,exports,GBP Total,75079.0,GBP (Million)
K02000001,quarter/2018-Q3,IKBB,0,exports,GBP Total,77267.0,GBP (Million)
K02000001,quarter/2018-Q4,IKBB,0,exports,GBP Total,80101.0,GBP (Million)
K02000001,quarter/2019-Q1,IKBB,0,exports,GBP Total,79408.0,GBP (Million)
K02000001,quarter/2019-Q2,IKBB,0,exports,GBP Total,80657.0,GBP (Million)
K02000001,quarter/2019-Q3,IKBB,0,exports,GBP Total,83739.0,GBP (Million)
K02000001,quarter/2019-Q4,IKBB,0,exports,GBP Total,84038.0,GBP (Million)
K02000001,quarter/2020-Q1,IKBB,0,exports,GBP Total,77277.0,GBP (Million)
K02000001,year/2018,MTN6,1+2,imports,GBP Total,2151.0,GBP (Million)
K02000001,year/2019,MTN6,1+2,imports,GBP Total,2819.0,GBP (Million)
K02000001,quarter/2018-Q2,MTN6,1+2,imports,GBP Total,442.0,GBP (Million)
K02000001,quarter/2018-Q3,MTN6,1+2,imports,GBP Total,448.0,GBP (Million)
K02000001,quarter/2018-Q4,MTN6,1+2,imports,GBP Total,725.0,GBP (Million)
K02000001,quarter/2019-Q1,MTN6,1+2,imports,GBP Total,689.0,GBP (Million)
K02000001,quarter/2019-Q2,MTN6,1+2,imports,GBP Total,692.0,GBP (Million)
K02000001,quarter/2019-Q3,MTN6,1+2,imports,GBP Total,719.0,GBP (Million)
K02000001,quarter/2019-Q4,MTN6,1+2,imports,GBP Total,719.0,GBP (Million)
K02000001,quarter/2020-Q1,MTN6,1+2,imports,GBP Total,550.0,GBP (Million)
K02000001,year/2018,FHME,3,imports,GBP Total,25524.0,GBP (Million)
K02000001,year/2019,FHME,3,imports,GBP Total,25639.0,GBP (Million)
K02000001,quarter/2018-Q2,FHME,3,imports,GBP Total,6291.0,GBP (Million)
K02000001,quarter/2018-Q3,FHME,3,imports,GBP Total,6471.0,GBP (Million)
K02000001,quarter/2018-Q4,FHME,3,imports,GBP Total,6276.0,GBP (Million)
K02000001,quarter/2019-Q1,FHME,3,imports,GBP Total,6389.0,GBP (Million)
K02000001,quarter/2019-Q2,FHME,3,imports,GBP Total,6426.0,GBP (Million)
K02000001,quarter/2019-Q3,FHME,3,imports,GBP Total,6469.0,GBP (Million)
K02000001,quarter/2019-Q4,FHME,3,imports,GBP Total,6355.0,GBP (Million)
K02000001,quarter/2020-Q1,FHME,3,imports,GBP Total,6075.0,GBP (Million)
K02000001,year/2018,APQL,4,imports,GBP Total,51742.0,GBP (Million)
K02000001,year/2019,APQL,4,imports,GBP Total,55619.0,GBP (Million)
K02000001,quarter/2018-Q2,APQL,4,imports,GBP Total,12671.0,GBP (Million)
K02000001,quarter/2018-Q3,APQL,4,imports,GBP Total,13063.0,GBP (Million)
K02000001,quarter/2018-Q4,APQL,4,imports,GBP Total,13112.0,GBP (Million)
K02000001,quarter/2019-Q1,APQL,4,imports,GBP Total,13103.0,GBP (Million)
K02000001,quarter/2019-Q2,APQL,4,imports,GBP Total,13567.0,GBP (Million)
K02000001,quarter/2019-Q3,APQL,4,imports,GBP Total,14314.0,GBP (Million)
K02000001,quarter/2019-Q4,APQL,4,imports,GBP Total,14635.0,GBP (Million)
K02000001,quarter/2020-Q1,APQL,4,imports,GBP Total,10872.0,GBP (Million)
K02000001,year/2018,FIOU,5,imports,GBP Total,2090.0,GBP (Million)
K02000001,year/2019,FIOU,5,imports,GBP Total,2832.0,GBP (Million)
K02000001,quarter/2018-Q2,FIOU,5,imports,GBP Total,465.0,GBP (Million)
K02000001,quarter/2018-Q3,FIOU,5,imports,GBP Total,536.0,GBP (Million)
K02000001,quarter/2018-Q4,FIOU,5,imports,GBP Total,590.0,GBP (Million)
K02000001,quarter/2019-Q1,FIOU,5,imports,GBP Total,604.0,GBP (Million)
K02000001,quarter/2019-Q2,FIOU,5,imports,GBP Total,593.0,GBP (Million)
K02000001,quarter/2019-Q3,FIOU,5,imports,GBP Total,666.0,GBP (Million)
K02000001,quarter/2019-Q4,FIOU,5,imports,GBP Total,969.0,GBP (Million)
K02000001,quarter/2020-Q1,FIOU,5,imports,GBP Total,828.0,GBP (Million)
K02000001,year/2018,FIPT,6,imports,GBP Total,3095.0,GBP (Million)
K02000001,year/2019,FIPT,6,imports,GBP Total,3115.0,GBP (Million)
K02000001,quarter/2018-Q2,FIPT,6,imports,GBP Total,734.0,GBP (Million)
K02000001,quarter/2018-Q3,FIPT,6,imports,GBP Total,771.0,GBP (Million)
K02000001,quarter/2018-Q4,FIPT,6,imports,GBP Total,857.0,GBP (Million)
K02000001,quarter/2019-Q1,FIPT,6,imports,GBP Total,797.0,GBP (Million)
K02000001,quarter/2019-Q2,FIPT,6,imports,GBP Total,739.0,GBP (Million)
K02000001,quarter/2019-Q3,FIPT,6,imports,GBP Total,773.0,GBP (Million)
K02000001,quarter/2019-Q4,FIPT,6,imports,GBP Total,806.0,GBP (Million)
K02000001,quarter/2020-Q1,FIPT,6,imports,GBP Total,694.0,GBP (Million)
K02000001,year/2018,FITY,7,imports,GBP Total,17017.0,GBP (Million)
K02000001,year/2019,FITY,7,imports,GBP Total,19673.0,GBP (Million)
K02000001,quarter/2018-Q2,FITY,7,imports,GBP Total,4057.0,GBP (Million)
K02000001,quarter/2018-Q3,FITY,7,imports,GBP Total,4274.0,GBP (Million)
K02000001,quarter/2018-Q4,FITY,7,imports,GBP Total,4805.0,GBP (Million)
K02000001,quarter/2019-Q1,FITY,7,imports,GBP Total,4825.0,GBP (Million)
K02000001,quarter/2019-Q2,FITY,7,imports,GBP Total,5022.0,GBP (Million)
K02000001,quarter/2019-Q3,FITY,7,imports,GBP Total,5083.0,GBP (Million)
K02000001,quarter/2019-Q4,FITY,7,imports,GBP Total,4743.0,GBP (Million)
K02000001,quarter/2020-Q1,FITY,7,imports,GBP Total,4710.0,GBP (Million)
K02000001,year/2018,FIVX,8,imports,GBP Total,10860.0,GBP (Million)
K02000001,year/2019,FIVX,8,imports,GBP Total,13269.0,GBP (Million)
K02000001,quarter/2018-Q2,FIVX,8,imports,GBP Total,2630.0,GBP (Million)
K02000001,quarter/2018-Q3,FIVX,8,imports,GBP Total,2708.0,GBP (Million)
K02000001,quarter/2018-Q4,FIVX,8,imports,GBP Total,2928.0,GBP (Million)
K02000001,quarter/2019-Q1,FIVX,8,imports,GBP Total,3132.0,GBP (Million)
K02000001,quarter/2019-Q2,FIVX,8,imports,GBP Total,3343.0,GBP (Million)
K02000001,quarter/2019-Q3,FIVX,8,imports,GBP Total,3427.0,GBP (Million)
K02000001,quarter/2019-Q4,FIVX,8,imports,GBP Total,3367.0,GBP (Million)
K02000001,quarter/2020-Q1,FIVX,8,imports,GBP Total,2644.0,GBP (Million)
K02000001,year/2018,FIUG,9,imports,GBP Total,10751.0,GBP (Million)
K02000001,year/2019,FIUG,9,imports,GBP Total,10498.0,GBP (Million)
K02000001,quarter/2018-Q2,FIUG,9,imports,GBP Total,2633.0,GBP (Million)
K02000001,quarter/2018-Q3,FIUG,9,imports,GBP Total,2586.0,GBP (Million)
K02000001,quarter/2018-Q4,FIUG,9,imports,GBP Total,2767.0,GBP (Million)
K02000001,quarter/2019-Q1,FIUG,9,imports,GBP Total,2568.0,GBP (Million)
K02000001,quarter/2019-Q2,FIUG,9,imports,GBP Total,2733.0,GBP (Million)
K02000001,quarter/2019-Q3,FIUG,9,imports,GBP Total,2718.0,GBP (Million)
K02000001,quarter/2019-Q4,FIUG,9,imports,GBP Total,2479.0,GBP (Million)
K02000001,quarter/2020-Q1,FIUG,9,imports,GBP Total,2389.0,GBP (Million)
K02000001,year/2018,FIWF,10,imports,GBP Total,66285.0,GBP (Million)
K02000001,year/2019,FIWF,10,imports,GBP Total,80831.0,GBP (Million)
K02000001,quarter/2018-Q2,FIWF,10,imports,GBP Total,16259.0,GBP (Million)
K02000001,quarter/2018-Q3,FIWF,10,imports,GBP Total,16232.0,GBP (Million)
K02000001,quarter/2018-Q4,FIWF,10,imports,GBP Total,18567.0,GBP (Million)
K02000001,quarter/2019-Q1,FIWF,10,imports,GBP Total,17872.0,GBP (Million)
K02000001,quarter/2019-Q2,FIWF,10,imports,GBP Total,18560.0,GBP (Million)
K02000001,quarter/2019-Q3,FIWF,10,imports,GBP Total,20283.0,GBP (Million)
K02000001,quarter/2019-Q4,FIWF,10,imports,GBP Total,24116.0,GBP (Million)
K02000001,quarter/2020-Q1,FIWF,10,imports,GBP Total,18338.0,GBP (Million)
K02000001,year/2018,FLQJ,11,imports,GBP Total,4095.0,GBP (Million)
K02000001,year/2019,FLQJ,11,imports,GBP Total,4436.0,GBP (Million)
K02000001,quarter/2018-Q2,FLQJ,11,imports,GBP Total,988.0,GBP (Million)
K02000001,quarter/2018-Q3,FLQJ,11,imports,GBP Total,1098.0,GBP (Million)
K02000001,quarter/2018-Q4,FLQJ,11,imports,GBP Total,1036.0,GBP (Million)
K02000001,quarter/2019-Q1,FLQJ,11,imports,GBP Total,1041.0,GBP (Million)
K02000001,quarter/2019-Q2,FLQJ,11,imports,GBP Total,1076.0,GBP (Million)
K02000001,quarter/2019-Q3,FLQJ,11,imports,GBP Total,1175.0,GBP (Million)
K02000001,quarter/2019-Q4,FLQJ,11,imports,GBP Total,1144.0,GBP (Million)
K02000001,quarter/2020-Q1,FLQJ,11,imports,GBP Total,1169.0,GBP (Million)
K02000001,year/2018,FLSA,12,imports,GBP Total,3682.0,GBP (Million)
K02000001,year/2019,FLSA,12,imports,GBP Total,3641.0,GBP (Million)
K02000001,quarter/2018-Q2,FLSA,12,imports,GBP Total,937.0,GBP (Million)
K02000001,quarter/2018-Q3,FLSA,12,imports,GBP Total,857.0,GBP (Million)
K02000001,quarter/2018-Q4,FLSA,12,imports,GBP Total,962.0,GBP (Million)
K02000001,quarter/2019-Q1,FLSA,12,imports,GBP Total,921.0,GBP (Million)
K02000001,quarter/2019-Q2,FLSA,12,imports,GBP Total,839.0,GBP (Million)
K02000001,quarter/2019-Q3,FLSA,12,imports,GBP Total,958.0,GBP (Million)
K02000001,quarter/2019-Q4,FLSA,12,imports,GBP Total,923.0,GBP (Million)
K02000001,quarter/2020-Q1,FLSA,12,imports,GBP Total,894.0,GBP (Million)
K02000001,year/2018,IKBC,0,imports,GBP Total,197292.0,GBP (Million)
K02000001,year/2019,IKBC,0,imports,GBP Total,222372.0,GBP (Million)
K02000001,quarter/2018-Q2,IKBC,0,imports,GBP Total,48107.0,GBP (Million)
K02000001,quarter/2018-Q3,IKBC,0,imports,GBP Total,49044.0,GBP (Million)
K02000001,quarter/2018-Q4,IKBC,0,imports,GBP Total,52625.0,GBP (Million)
K02000001,quarter/2019-Q1,IKBC,0,imports,GBP Total,51941.0,GBP (Million)
K02000001,quarter/2019-Q2,IKBC,0,imports,GBP Total,53590.0,GBP (Million)
K02000001,quarter/2019-Q3,IKBC,0,imports,GBP Total,56585.0,GBP (Million)
K02000001,quarter/2019-Q4,IKBC,0,imports,GBP Total,60256.0,GBP (Million)
K02000001,quarter/2020-Q1,IKBC,0,imports,GBP Total,49163.0,GBP (Million)
K02000001,year/2018,MTN8,1+2,balances,GBP Total,3540.0,GBP (Million)
K02000001,year/2019,MTN8,1+2,balances,GBP Total,3615.0,GBP (Million)
K02000001,quarter/2018-Q2,MTN8,1+2,balances,GBP Total,930.0,GBP (Million)
K02000001,quarter/2018-Q3,MTN8,1+2,balances,GBP Total,1019.0,GBP (Million)
K02000001,quarter/2018-Q4,MTN8,1+2,balances,GBP Total,758.0,GBP (Million)
K02000001,quarter/2019-Q1,MTN8,1+2,balances,GBP Total,913.0,GBP (Million)
K02000001,quarter/2019-Q2,MTN8,1+2,balances,GBP Total,924.0,GBP (Million)
K02000001,quarter/2019-Q3,MTN8,1+2,balances,GBP Total,903.0,GBP (Million)
K02000001,quarter/2019-Q4,MTN8,1+2,balances,GBP Total,875.0,GBP (Million)
K02000001,quarter/2020-Q1,MTN8,1+2,balances,GBP Total,928.0,GBP (Million)
K02000001,year/2018,FLYS,3,balances,GBP Total,3945.0,GBP (Million)
K02000001,year/2019,FLYS,3,balances,GBP Total,5610.0,GBP (Million)
K02000001,quarter/2018-Q2,FLYS,3,balances,GBP Total,870.0,GBP (Million)
K02000001,quarter/2018-Q3,FLYS,3,balances,GBP Total,895.0,GBP (Million)
K02000001,quarter/2018-Q4,FLYS,3,balances,GBP Total,1229.0,GBP (Million)
K02000001,quarter/2019-Q1,FLYS,3,balances,GBP Total,1479.0,GBP (Million)
K02000001,quarter/2019-Q2,FLYS,3,balances,GBP Total,1375.0,GBP (Million)
K02000001,quarter/2019-Q3,FLYS,3,balances,GBP Total,1076.0,GBP (Million)
K02000001,quarter/2019-Q4,FLYS,3,balances,GBP Total,1680.0,GBP (Million)
K02000001,quarter/2020-Q1,FLYS,3,balances,GBP Total,1058.0,GBP (Million)
K02000001,year/2018,FNGY,4,balances,GBP Total,-15311.0,GBP (Million)
K02000001,year/2019,FNGY,4,balances,GBP Total,-16104.0,GBP (Million)
K02000001,quarter/2018-Q2,FNGY,4,balances,GBP Total,-3876.0,GBP (Million)
K02000001,quarter/2018-Q3,FNGY,4,balances,GBP Total,-4386.0,GBP (Million)
K02000001,quarter/2018-Q4,FNGY,4,balances,GBP Total,-4102.0,GBP (Million)
K02000001,quarter/2019-Q1,FNGY,4,balances,GBP Total,-4101.0,GBP (Million)
K02000001,quarter/2019-Q2,FNGY,4,balances,GBP Total,-4149.0,GBP (Million)
K02000001,quarter/2019-Q3,FNGY,4,balances,GBP Total,-3979.0,GBP (Million)
K02000001,quarter/2019-Q4,FNGY,4,balances,GBP Total,-3875.0,GBP (Million)
K02000001,quarter/2020-Q1,FNGY,4,balances,GBP Total,-4495.0,GBP (Million)
K02000001,year/2018,FNJM,5,balances,GBP Total,581.0,GBP (Million)
K02000001,year/2019,FNJM,5,balances,GBP Total,88.0,GBP (Million)
K02000001,quarter/2018-Q2,FNJM,5,balances,GBP Total,127.0,GBP (Million)
K02000001,quarter/2018-Q3,FNJM,5,balances,GBP Total,123.0,GBP (Million)
K02000001,quarter/2018-Q4,FNJM,5,balances,GBP Total,137.0,GBP (Million)
K02000001,quarter/2019-Q1,FNJM,5,balances,GBP Total,77.0,GBP (Million)
K02000001,quarter/2019-Q2,FNJM,5,balances,GBP Total,173.0,GBP (Million)
K02000001,quarter/2019-Q3,FNJM,5,balances,GBP Total,63.0,GBP (Million)
K02000001,quarter/2019-Q4,FNJM,5,balances,GBP Total,-225.0,GBP (Million)
K02000001,quarter/2020-Q1,FNJM,5,balances,GBP Total,-129.0,GBP (Million)
K02000001,year/2018,FNKF,6,balances,GBP Total,16330.0,GBP (Million)
K02000001,year/2019,FNKF,6,balances,GBP Total,17038.0,GBP (Million)
K02000001,quarter/2018-Q2,FNKF,6,balances,GBP Total,3997.0,GBP (Million)
K02000001,quarter/2018-Q3,FNKF,6,balances,GBP Total,4302.0,GBP (Million)
K02000001,quarter/2018-Q4,FNKF,6,balances,GBP Total,4028.0,GBP (Million)
K02000001,quarter/2019-Q1,FNKF,6,balances,GBP Total,4160.0,GBP (Million)
K02000001,quarter/2019-Q2,FNKF,6,balances,GBP Total,4277.0,GBP (Million)
K02000001,quarter/2019-Q3,FNKF,6,balances,GBP Total,4270.0,GBP (Million)
K02000001,quarter/2019-Q4,FNKF,6,balances,GBP Total,4331.0,GBP (Million)
K02000001,quarter/2020-Q1,FNKF,6,balances,GBP Total,4414.0,GBP (Million)
K02000001,year/2018,FNLQ,7,balances,GBP Total,46205.0,GBP (Million)
K02000001,year/2019,FNLQ,7,balances,GBP Total,43624.0,GBP (Million)
K02000001,quarter/2018-Q2,FNLQ,7,balances,GBP Total,12184.0,GBP (Million)
K02000001,quarter/2018-Q3,FNLQ,7,balances,GBP Total,11398.0,GBP (Million)
K02000001,quarter/2018-Q4,FNLQ,7,balances,GBP Total,11049.0,GBP (Million)
K02000001,quarter/2019-Q1,FNLQ,7,balances,GBP Total,10993.0,GBP (Million)
K02000001,quarter/2019-Q2,FNLQ,7,balances,GBP Total,9927.0,GBP (Million)
K02000001,quarter/2019-Q3,FNLQ,7,balances,GBP Total,11423.0,GBP (Million)
K02000001,quarter/2019-Q4,FNLQ,7,balances,GBP Total,11281.0,GBP (Million)
K02000001,quarter/2020-Q1,FNLQ,7,balances,GBP Total,11879.0,GBP (Million)
K02000001,year/2018,FNMR,8,balances,GBP Total,8861.0,GBP (Million)
K02000001,year/2019,FNMR,8,balances,GBP Total,6507.0,GBP (Million)
K02000001,quarter/2018-Q2,FNMR,8,balances,GBP Total,1986.0,GBP (Million)
K02000001,quarter/2018-Q3,FNMR,8,balances,GBP Total,1857.0,GBP (Million)
K02000001,quarter/2018-Q4,FNMR,8,balances,GBP Total,3203.0,GBP (Million)
K02000001,quarter/2019-Q1,FNMR,8,balances,GBP Total,1476.0,GBP (Million)
K02000001,quarter/2019-Q2,FNMR,8,balances,GBP Total,1699.0,GBP (Million)
K02000001,quarter/2019-Q3,FNMR,8,balances,GBP Total,1360.0,GBP (Million)
K02000001,quarter/2019-Q4,FNMR,8,balances,GBP Total,1972.0,GBP (Million)
K02000001,quarter/2020-Q1,FNMR,8,balances,GBP Total,1503.0,GBP (Million)
K02000001,year/2018,FNLY,9,balances,GBP Total,13209.0,GBP (Million)
K02000001,year/2019,FNLY,9,balances,GBP Total,12902.0,GBP (Million)
K02000001,quarter/2018-Q2,FNLY,9,balances,GBP Total,3151.0,GBP (Million)
K02000001,quarter/2018-Q3,FNLY,9,balances,GBP Total,3430.0,GBP (Million)
K02000001,quarter/2018-Q4,FNLY,9,balances,GBP Total,3482.0,GBP (Million)
K02000001,quarter/2019-Q1,FNLY,9,balances,GBP Total,3095.0,GBP (Million)
K02000001,quarter/2019-Q2,FNLY,9,balances,GBP Total,3024.0,GBP (Million)
